"hour","transaction_count"
"2023-06-24 22:00:00+00","40499"
"2023-06-24 23:00:00+00","41952"
"2023-06-25 00:00:00+00","45050"
"2023-06-25 01:00:00+00","44921"
"2023-06-25 02:00:00+00","40314"
"2023-06-25 03:00:00+00","39218"
"2023-06-25 04:00:00+00","36479"
"2023-06-25 05:00:00+00","33602"
"2023-06-25 06:00:00+00","36342"
"2023-06-25 07:00:00+00","38717"
"2023-06-25 08:00:00+00","40468"
"2023-06-25 09:00:00+00","39867"
"2023-06-25 10:00:00+00","40003"
"2023-06-25 11:00:00+00","37177"
"2023-06-25 12:00:00+00","39778"
"2023-06-25 13:00:00+00","39582"
"2023-06-25 14:00:00+00","29964"
