"cnt","frequency"
"1","17302531"
"2","2169397"
"3","666378"
"4","216111"
"5","83476"
"6","36665"
"7","17539"
"8","9144"
"9","5071"
"10","2869"
"11","1816"
"12","1150"
"13","696"
"14","487"
"15","375"
"16","245"
"17","185"
"18","115"
"19","83"
"20","84"
"21","66"
"22","40"
"23","32"
"24","17"
"25","19"
"26","17"
"27","25"
"28","17"
"29","11"
"30","15"
"31","15"
"32","9"
"33","6"
"34","3"
"35","1"
"36","2"
"37","2"
"38","4"
"39","1"
"40","2"
"41","1"
"43","2"
"44","2"
"46","1"
"47","1"
"48","1"
"50","1"
"52","1"
"53","1"
"54","1"
"56","1"
"111","1"
